id,title,price,unitprice,roomtype,floor,Total floor,direction,Construction time,area,region,street,Distance Center,Building area,House structure,Inside area,Building Type,building structure,Decoration,Scale of households,Heating mode,Equipped with elevator,Listing time,Transaction ownership,Last transaction,usage of houses,Housing years,Ownership,mortgage
55,阜成门商圈 电梯直达 总价低小一居室,515万,116516元/平米,1室1厅,低楼层,共16层,东,1991年建,北礼士路,西城,官园,二至三环,44.2,平层,暂无数据,板楼,混合结构,简装,一梯五户,集中供暖,有,2020/6/3,已购公房,2001/2/5,普通住宅,满五年,非共有,无
56,古城副食楼1993年，中间楼层两居室,273万,47537元/平米,2室1厅,中楼层,共6层,北南,1993年建,古城副食楼,石景山,古城,五至六环,57.43,平层,暂无数据,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/5/31,商品房,2013/9/17,普通住宅,满五年,共有,有
57,视野好、采光棒、拎包入住、满五唯一、有租赁车位,770万,56353元/平米,3室1厅,高楼层,共28层,西南,1999年建,南湖东园一区,朝阳,望京,四至五环,136.64,平层,暂无数据,塔楼,钢混结构,精装,三梯八户,集中供暖,有,2020/6/3,商品房,2006/2/5,普通住宅,满五年,非共有,有
58,郁花园一里精装修两居室  中间楼层 随时签约,355万,42572元/平米,2室2厅,中楼层,共7层,南北,1996年建,郁花园一里,大兴,郁花园,五至六环,83.39,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/5,商品房,2016/8/5,普通住宅,满两年,非共有,有
59,房子采光好，日照时间长，户型方正,158万,30090元/平米,2室1厅,中楼层,共6层,南,1994年建,三家店四局,门头沟,城子,五至六环,52.51,平层,暂无数据,板楼,混合结构,简装,一梯三户,集中供暖,无,2020/6/1,已购公房,1997/12/28,普通住宅,满五年,非共有,无
60,满五年唯一，精装修三居室，前面是小公园，无遮挡,258万,24113元/平米,3室2厅,低楼层,共12层,南北,2009年建,水色时光五区,顺义,顺义其它,六环外,107,平层,86.4,板楼,钢混结构,精装,一梯两户,集中供暖,有,2020/6/3,商品房,2010/8/20,普通住宅,满五年,非共有,有
61,东南四环，朝阳区，普通住宅，电梯三居，南北通透,550万,40771元/平米,3室1厅,中楼层,共16层,南北,2005年建,恋日绿岛,朝阳,十八里店,四至五环,134.9,平层,103.27,板楼,钢混结构,简装,一梯两户,集中供暖,有,2020/6/6,商品房,2009/11/4,普通住宅,满五年,非共有,无
62,安福苑 2003年的房子 南北通透,290万,37434元/平米,2室1厅,低楼层,共6层,东南北,2002年建,安福苑,昌平,鼓楼大街,六环外近,77.47,平层,暂无数据,板楼,混合结构,精装,一梯三户,集中供暖,无,2020/6/6,商品房,2018/3/12,普通住宅,满两年,共有,有
63,京通苑正规一居室南北通透低楼层 杨闸环岛临管庄地铁,270万,49056元/平米,1室1厅,低楼层,共6层,南北,1996年建,京通苑,朝阳,管庄,五至六环,55.04,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/6,商品房,2006/2/16,普通住宅,满五年,非共有,无
64,长安新城 低密度板楼 全明格局 诚心出售,690万,56451元/平米,3室1厅,中楼层,共8层,南北,2004年建,长安新城一区,丰台,青塔,四至五环,122.23,平层,103.21,板楼,钢混结构,精装,一梯四户,自供暖,有,2020/6/3,一类经济适用房,2006/5/17,普通住宅,满五年,非共有,无
65,新安里小户型，业主诚心出售，看房提前联系！,205万,37071元/平米,2室1厅,中楼层,共4层,南北,1987年建,新安里,大兴,枣园,五至六环,55.3,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,暂无数据,2020/6/6,商品房,2014/7/18,普通住宅,满五年,非共有,无
66,法式园4层眼镜房，大号楼的眼镜房，满五年唯一,508万,32306元/平米,3室2厅,中楼层,共7层,南北,2002年建,天通苑东三区,昌平,天通苑,五至六环,157.25,平层,141.9,板楼,混合结构,简装,一梯两户,集中供暖,无,2018/8/22,一类经济适用房,2003/8/26,普通住宅,满五年,非共有,无
67,望京新城 东南两居 次顶层 有阳光房 安静不临街,635万,55003元/平米,2室1厅,高楼层,共30层,西南东南,1997年建,望京新城,朝阳,望京,四至五环,115.45,平层,暂无数据,塔楼,钢混结构,简装,三梯十二户,集中供暖,有,2020/6/3,商品房,2010/5/4,普通住宅,满五年,非共有,无
68,业主诚意出售，看房方便，南北通透。,318万,43875元/平米,2室1厅,低楼层,共6层,北南,1995年建,莲竹花园,顺义,中央别墅区,五至六环,72.48,平层,暂无数据,板楼,混合结构,简装,一梯两户,集中供暖,无,2020/6/7,商品房,2012/5/23,普通住宅,满五年,非共有,无
69,凤凰城三期 三卧分离南北三居室 满五年唯一 带车位,2400万,123616元/平米,3室2厅,高楼层,共31层,南北,2006年建,凤凰城三期,朝阳,三元桥,三至四环,194.15,平层,145.2,板楼,钢混结构,精装,两梯三户,集中供暖,有,2020/6/4,商品房,2008/7/5,普通住宅,满五年,非共有,无
70,华威北里 大客厅 高楼层 采光好 近地铁 配套完善,398万,55217元/平米,2室1厅,高楼层,共14层,东,1997年建,华威北里,朝阳,潘家园,二至三环,72.08,平层,暂无数据,板塔结合,钢混结构,简装,两梯十一户,集中供暖,有,2018/3/4,已购公房,2017/5/23,普通住宅,满两年,非共有,无
71,满五年，精装修，看房方便，诚心出售,419万,58750元/平米,2室1厅,高楼层,共6层,南北,2001年建,天宝家园,亦庄开发区,亦庄,五至六环,71.32,平层,61.39,板楼,混合结构,精装,一梯两户,集中供暖,无,2020/6/7,商品房,2012/4/18,普通住宅,满五年,共有,无
